Title,Copyright,Song#,Last Reported,Reporter,,
Open The Eyes Of My Heart,1997,2298355,03/10/2017,Person Name,,
CCL,Last Reported,Reporter,Print,Digital,Record,Translation
,03/10/2017,Person Name,1,1,1,0
,,,,,,
Title,Copyright,Song#,Last Reported,Reporter,,
For The Glory Of Your Name,1999,2901219,03/10/2017,Person Name,,
CCL,Last Reported,Reporter,Print,Digital,Record,Translation
,03/10/2017,Person Name,1,1,1,0
,03/10/2017,Person Name,1,1,1,0
,03/10/2017,Person Name,1,1,1,0
,,,,,,
Title,Copyright,Song#,Last Reported,Reporter,,
Jesus The Name High Over All,- - - -,4451925,03/10/2017,Person Name,,
CCL,Last Reported,Reporter,Print,Digital,Record,Translation
,03/10/2017,Person Name,1,1,1,0
,,,,,,
Title,Copyright,Song#,Last Reported,Reporter,,
Be Thou My Vision,2008,6361343,03/10/2017,Person Name,,
CCL,Last Reported,Reporter,Print,Digital,Record,Translation
,03/10/2017,Person Name,1,1,1,0
,,,,,,
Title,Copyright,Song#,Last Reported,Reporter,,
One Thing Remains (Your Love Never Fails),2010,5508444,03/10/2017,Person Name,,
CCL,Last Reported,Reporter,Print,Digital,Record,Translation
,21/10/2016,Person Name,1,1,1,0
,21/10/2016,Person Name,1,1,1,0
,21/10/2016,Person Name,1,1,1,0
,03/10/2017,Person Name,1,1,1,0
,03/10/2017,Person Name,1,1,1,0
